Label:, CH1-2: é¸îgêîâûìöä÷êî
DateTime:, Thu Feb 08 16:38:24 2018
DataKind:, CH1-2, FRF, Mag
DataPoints:, 1601
DataCalc:, H1
Frequency:, 0.000 , 4000.000, Hz
Sample:, 4096, Internal
Average:, 3, Power/Sum
Voltage(CH1):, -20.000, dBVrms
Voltage(CH2):, -10.000, dBVrms
EU/V(CH1):, 3.757E+001
EU/V(CH2):, 1.088E+003
Window(CH1):, Rect
Window(CH2):, Rect
X-AxisScale:, Lin
X-AxisUnit:, Hz
Y-AxisScale:, Log
Y-AxisUnit:, m/s2/N
Y-AxisMagniude:
7.12500000E+002, 3.54022524E+001
7.15000000E+002, 3.53190096E+001
7.17500000E+002, 3.54612476E+001
7.20000000E+002, 3.55274326E+001
7.22500000E+002, 3.54924065E+001
7.25000000E+002, 3.55888111E+001
7.27500000E+002, 3.57754523E+001
7.30000000E+002, 3.57720012E+001
7.32500000E+002, 3.58451290E+001
7.35000000E+002, 3.59690833E+001
7.37500000E+002, 3.60364356E+001
7.40000000E+002, 3.60026660E+001
7.42500000E+002, 3.61726185E+001
7.45000000E+002, 3.63407757E+001
7.47500000E+002, 3.63269015E+001
7.50000000E+002, 3.63997511E+001
7.52500000E+002, 3.65406810E+001
7.55000000E+002, 3.67464105E+001
7.57500000E+002, 3.68671655E+001
7.60000000E+002, 3.68261038E+001
7.62500000E+002, 3.71212643E+001
7.65000000E+002, 3.71885033E+001
7.67500000E+002, 3.73191975E+001
7.70000000E+002, 3.74267390E+001
7.72500000E+002, 3.74979895E+001
7.75000000E+002, 3.76979727E+001
7.77500000E+002, 3.78680710E+001
7.80000000E+002, 3.81408062E+001
7.82500000E+002, 3.81579834E+001
7.85000000E+002, 3.84465255E+001
7.87500000E+002, 3.85940430E+001
7.90000000E+002, 3.88023418E+001
7.92500000E+002, 3.90628965E+001
7.95000000E+002, 3.93098239E+001
7.97500000E+002, 3.95637096E+001
8.00000000E+002, 3.97724999E+001
8.02500000E+002, 3.99570069E+001
8.05000000E+002, 4.03572874E+001
8.07500000E+002, 4.05934028E+001
8.10000000E+002, 4.09310899E+001
8.12500000E+002, 4.11243097E+001
8.15000000E+002, 4.15164426E+001
8.17500000E+002, 4.18161537E+001
8.20000000E+002, 4.22816954E+001
8.22500000E+002, 4.25962514E+001
8.25000000E+002, 4.29854594E+001
8.27500000E+002, 4.34287621E+001
8.30000000E+002, 4.40441605E+001
8.32500000E+002, 4.44868262E+001
8.35000000E+002, 4.50803088E+001
8.37500000E+002, 4.58054130E+001
8.40000000E+002, 4.65238782E+001
8.42500000E+002, 4.73486453E+001
8.45000000E+002, 4.82559117E+001
8.47500000E+002, 4.92376952E+001
8.50000000E+002, 5.04315174E+001
8.52500000E+002, 5.17678666E+001
8.55000000E+002, 5.33449299E+001
8.57500000E+002, 5.52343449E+001
8.60000000E+002, 5.78451579E+001
8.62500000E+002, 6.04587327E+001
8.65000000E+002, 6.24424009E+001
8.67500000E+002, 6.08761569E+001
8.70000000E+002, 5.79930862E+001
8.72500000E+002, 5.53205386E+001
8.75000000E+002, 5.29922440E+001
8.77500000E+002, 5.12956961E+001
8.80000000E+002, 4.94805010E+001
8.82500000E+002, 4.82688536E+001
8.85000000E+002, 4.69617445E+001
8.87500000E+002, 4.58945630E+001
8.90000000E+002, 4.48475692E+001
8.92500000E+002, 4.39620306E+001
8.95000000E+002, 4.31410375E+001
8.97500000E+002, 4.23650124E+001
9.00000000E+002, 4.14997582E+001
9.02500000E+002, 4.08909865E+001
9.05000000E+002, 4.01483248E+001
9.07500000E+002, 3.96411916E+001
9.10000000E+002, 3.89690227E+001
9.12500000E+002, 3.84233159E+001
9.15000000E+002, 3.77464048E+001
9.17500000E+002, 3.72429643E+001
9.20000000E+002, 3.68583748E+001
9.22500000E+002, 3.63010495E+001
9.25000000E+002, 3.57379053E+001
9.27500000E+002, 3.52861780E+001
9.30000000E+002, 3.49865247E+001
9.32500000E+002, 3.44343176E+001
9.35000000E+002, 3.39165138E+001
9.37500000E+002, 3.34488486E+001
9.40000000E+002, 3.29791547E+001
9.42500000E+002, 3.26364840E+001
9.45000000E+002, 3.21294086E+001
9.47500000E+002, 3.17615667E+001
9.50000000E+002, 3.14874353E+001
9.52500000E+002, 3.09908122E+001
9.55000000E+002, 3.07310805E+001
9.57500000E+002, 3.02147982E+001
9.60000000E+002, 2.97941573E+001
9.62500000E+002, 2.95195055E+001
9.65000000E+002, 2.91180345E+001
9.67500000E+002, 2.86231048E+001
9.70000000E+002, 2.84251718E+001
9.72500000E+002, 2.78328139E+001
9.75000000E+002, 2.74696693E+001
9.77500000E+002, 2.71311990E+001
9.80000000E+002, 2.68749579E+001
9.82500000E+002, 2.64216940E+001
9.85000000E+002, 2.61539539E+001
9.87500000E+002, 2.56792879E+001
9.90000000E+002, 2.54666938E+001
9.92500000E+002, 2.49597142E+001
9.95000000E+002, 2.46805881E+001
9.97500000E+002, 2.43503506E+001
1.00000000E+003, 2.37047505E+001
1.00250000E+003, 2.33801680E+001
1.00500000E+003, 2.32443930E+001
1.00750000E+003, 2.27536542E+001
1.01000000E+003, 2.24153731E+001
1.01250000E+003, 2.18103650E+001
1.01500000E+003, 2.17553120E+001
1.01750000E+003, 2.11235358E+001
1.02000000E+003, 2.08093133E+001
1.02250000E+003, 2.03211677E+001
1.02500000E+003, 1.95951044E+001
1.02750000E+003, 1.90016619E+001
1.03000000E+003, 1.80120247E+001
1.03250000E+003, 1.76538824E+001
1.03500000E+003, 1.74444788E+001
1.03750000E+003, 1.68510537E+001
1.04000000E+003, 1.62859907E+001
1.04250000E+003, 1.57100920E+001
1.04500000E+003, 1.54736521E+001
1.04750000E+003, 1.41954814E+001
1.05000000E+003, 1.41885298E+001
1.05250000E+003, 1.31883769E+001
1.05500000E+003, 1.31205322E+001
1.05750000E+003, 1.18555196E+001
1.06000000E+003, 1.05476340E+001
1.06250000E+003, 9.66935150E+000
1.06500000E+003, 9.05706615E+000
1.06750000E+003, 8.41055659E+000
1.07000000E+003, 6.16348512E+000
1.07250000E+003, 5.99007011E+000
1.07500000E+003, 2.28159891E+000
1.07750000E+003, 1.72620651E+000
1.08000000E+003, 2.55398569E+000
1.08250000E+003, -8.46649475E+000
1.08500000E+003, -8.45066719E+000
1.08750000E+003, -2.68143641E+000
1.09000000E+003, -1.01350281E+001
1.09250000E+003, 3.39536323E-001
1.09500000E+003, 2.31846686E+000
1.09750000E+003, 2.80061617E+000
1.10000000E+003, 4.30484370E+000
1.10250000E+003, 6.05514881E+000
1.10500000E+003, 6.23626204E+000
1.10750000E+003, 7.49403586E+000
1.11000000E+003, 7.09004984E+000
1.11250000E+003, 9.23490236E+000
1.11500000E+003, 8.89053955E+000
1.11750000E+003, 9.83901161E+000
1.12000000E+003, 1.06367250E+001
1.12250000E+003, 1.08271000E+001
1.12500000E+003, 1.24779181E+001
1.12750000E+003, 1.19524439E+001
1.13000000E+003, 1.22180057E+001
1.13250000E+003, 1.34210945E+001
1.13500000E+003, 1.42178383E+001
1.13750000E+003, 1.42047735E+001
1.14000000E+003, 1.44086404E+001
1.14250000E+003, 1.53720121E+001
1.14500000E+003, 1.51866156E+001
1.14750000E+003, 1.52766938E+001
1.15000000E+003, 1.60755478E+001
1.15250000E+003, 1.56666904E+001
1.15500000E+003, 1.64041343E+001
1.15750000E+003, 1.67764616E+001
1.16000000E+003, 1.68248292E+001
1.16250000E+003, 1.70688825E+001
1.16500000E+003, 1.69048672E+001
1.16750000E+003, 1.74699946E+001
1.17000000E+003, 1.79926778E+001
1.17250000E+003, 1.76411989E+001
1.17500000E+003, 1.83074255E+001
1.17750000E+003, 1.85178570E+001
1.18000000E+003, 1.85696142E+001
1.18250000E+003, 1.89716985E+001
1.18500000E+003, 1.92429786E+001
1.18750000E+003, 1.95215991E+001
1.19000000E+003, 1.94731990E+001
1.19250000E+003, 1.94609721E+001
1.19500000E+003, 1.97151115E+001
1.19750000E+003, 2.02439732E+001
1.20000000E+003, 2.02890360E+001
1.20250000E+003, 2.03180333E+001
1.20500000E+003, 2.03778535E+001
1.20750000E+003, 2.06729353E+001
1.21000000E+003, 2.10360693E+001
1.21250000E+003, 2.10777604E+001
1.21500000E+003, 2.11321047E+001
1.21750000E+003, 2.13538653E+001
1.22000000E+003, 2.14056653E+001
1.22250000E+003, 2.17353428E+001
1.22500000E+003, 2.16855519E+001
1.22750000E+003, 2.17460263E+001
1.23000000E+003, 2.20365254E+001
1.23250000E+003, 2.20990807E+001
1.23500000E+003, 2.21415391E+001
1.23750000E+003, 2.23997542E+001
1.24000000E+003, 2.25179813E+001
1.24250000E+003, 2.26501496E+001
1.24500000E+003, 2.28823209E+001
1.24750000E+003, 2.29866402E+001
1.25000000E+003, 2.29841685E+001
1.25250000E+003, 2.32511958E+001
1.25500000E+003, 2.31782126E+001
1.25750000E+003, 2.35493486E+001
1.26000000E+003, 2.36953403E+001
1.26250000E+003, 2.37628456E+001
1.26500000E+003, 2.38506551E+001
1.26750000E+003, 2.40155979E+001
1.27000000E+003, 2.39783307E+001
1.27250000E+003, 2.42487167E+001
1.27500000E+003, 2.42755545E+001
1.27750000E+003, 2.44262726E+001
1.28000000E+003, 2.46036568E+001
1.28250000E+003, 2.46826505E+001
1.28500000E+003, 2.46723187E+001
1.28750000E+003, 2.46456831E+001
1.29000000E+003, 2.50207442E+001
1.29250000E+003, 2.50892682E+001
1.29500000E+003, 2.52613830E+001
1.29750000E+003, 2.54600251E+001
1.30000000E+003, 2.55428922E+001
1.30250000E+003, 2.55672064E+001
1.30500000E+003, 2.55762195E+001
1.30750000E+003, 2.58917099E+001
1.31000000E+003, 2.58826384E+001
1.31250000E+003, 2.60146479E+001
1.31500000E+003, 2.61829649E+001
1.31750000E+003, 2.65497314E+001
1.32000000E+003, 2.65987299E+001
1.32250000E+003, 2.69859150E+001
1.32500000E+003, 2.71389488E+001
1.32750000E+003, 2.74864527E+001
1.33000000E+003, 2.79327011E+001
1.33250000E+003, 2.84819310E+001
1.33500000E+003, 2.92956550E+001
1.33750000E+003, 3.12985016E+001
1.34000000E+003, 3.50488758E+001
1.34250000E+003, 1.68805104E+001
1.34500000E+003, 2.14021020E+001
1.34750000E+003, 2.32571037E+001
1.35000000E+003, 2.43459531E+001
1.35250000E+003, 2.48598044E+001
1.35500000E+003, 2.53888618E+001
1.35750000E+003, 2.57179758E+001
1.36000000E+003, 2.58926280E+001
1.36250000E+003, 2.62328488E+001
1.36500000E+003, 2.65060327E+001
1.36750000E+003, 2.65593805E+001
1.37000000E+003, 2.67796123E+001
1.37250000E+003, 2.68209639E+001
1.37500000E+003, 2.69491629E+001
1.37750000E+003, 2.71524641E+001
1.38000000E+003, 2.72605192E+001
1.38250000E+003, 2.73108828E+001
1.38500000E+003, 2.74729267E+001
1.38750000E+003, 2.76007310E+001
1.39000000E+003, 2.76748574E+001
1.39250000E+003, 2.78337604E+001
1.39500000E+003, 2.78710250E+001
1.39750000E+003, 2.80033935E+001
1.40000000E+003, 2.82798088E+001
1.40250000E+003, 2.82131814E+001
1.40500000E+003, 2.83652199E+001
1.40750000E+003, 2.84592167E+001
1.41000000E+003, 2.85847294E+001
1.41250000E+003, 2.86847410E+001
1.41500000E+003, 2.87163015E+001
1.41750000E+003, 2.87942526E+001
1.42000000E+003, 2.89049968E+001
1.42250000E+003, 2.89966086E+001
1.42500000E+003, 2.91862583E+001
1.42750000E+003, 2.91696596E+001
1.43000000E+003, 2.93029381E+001
1.43250000E+003, 2.94031660E+001
1.43500000E+003, 2.94761469E+001
1.43750000E+003, 2.96496511E+001
1.44000000E+003, 2.97383927E+001
1.44250000E+003, 2.98488673E+001
1.44500000E+003, 2.99002863E+001
1.44750000E+003, 2.99415378E+001
1.45000000E+003, 3.00434917E+001
1.45250000E+003, 3.00241052E+001
1.45500000E+003, 3.02209294E+001
1.45750000E+003, 3.02824982E+001
1.46000000E+003, 3.03610887E+001
1.46250000E+003, 3.04721638E+001
1.46500000E+003, 3.04503828E+001
1.46750000E+003, 3.05553389E+001
1.47000000E+003, 3.07391412E+001
1.47250000E+003, 3.08182743E+001
1.47500000E+003, 3.09361309E+001
1.47750000E+003, 3.09101854E+001
1.48000000E+003, 3.10286749E+001
1.48250000E+003, 3.11319851E+001
1.48500000E+003, 3.11637945E+001
1.48750000E+003, 3.13657094E+001
1.49000000E+003, 3.14861602E+001
1.49250000E+003, 3.14321914E+001
1.49500000E+003, 3.15516269E+001
1.49750000E+003, 3.17725601E+001
1.50000000E+003, 3.19009177E+001
1.50250000E+003, 3.18005297E+001
1.50500000E+003, 3.19314359E+001
1.50750000E+003, 3.20246696E+001
1.51000000E+003, 3.21076707E+001
1.51250000E+003, 3.22662948E+001
1.51500000E+003, 3.22725987E+001
1.51750000E+003, 3.24205711E+001
1.52000000E+003, 3.24963167E+001
1.52250000E+003, 3.24858286E+001
1.52500000E+003, 3.26601186E+001
1.52750000E+003, 3.26790225E+001
1.53000000E+003, 3.27437713E+001
1.53250000E+003, 3.28741458E+001
1.53500000E+003, 3.29240814E+001
1.53750000E+003, 3.32284200E+001
1.54000000E+003, 3.32825987E+001
1.54250000E+003, 3.32832265E+001
1.54500000E+003, 3.34531834E+001
1.54750000E+003, 3.36026286E+001
1.55000000E+003, 3.36793987E+001
1.55250000E+003, 3.37346610E+001
1.55500000E+003, 3.38297162E+001
1.55750000E+003, 3.38521807E+001
1.56000000E+003, 3.40630265E+001
1.56250000E+003, 3.40682503E+001
1.56500000E+003, 3.41863964E+001
1.56750000E+003, 3.43768644E+001
1.57000000E+003, 3.44253802E+001
1.57250000E+003, 3.44921368E+001
1.57500000E+003, 3.46182041E+001
1.57750000E+003, 3.47418289E+001
1.58000000E+003, 3.48084836E+001
1.58250000E+003, 3.48205884E+001
1.58500000E+003, 3.49465974E+001
1.58750000E+003, 3.51433113E+001
1.59000000E+003, 3.51911214E+001
1.59250000E+003, 3.53613791E+001
1.59500000E+003, 3.54561380E+001
1.59750000E+003, 3.56149020E+001
1.60000000E+003, 3.57339522E+001
1.60250000E+003, 3.57489445E+001
1.60500000E+003, 3.59633850E+001
1.60750000E+003, 3.60046015E+001
1.61000000E+003, 3.61549206E+001
1.61250000E+003, 3.62219272E+001
1.61500000E+003, 3.64993330E+001
1.61750000E+003, 3.65235392E+001
1.62000000E+003, 3.65956136E+001
1.62250000E+003, 3.66937246E+001
1.62500000E+003, 3.69330804E+001
1.62750000E+003, 3.70156385E+001
1.63000000E+003, 3.72082175E+001
1.63250000E+003, 3.72175589E+001
1.63500000E+003, 3.73671338E+001
1.63750000E+003, 3.74345495E+001
1.64000000E+003, 3.76425989E+001
1.64250000E+003, 3.77345620E+001
1.64500000E+003, 3.79037252E+001
1.64750000E+003, 3.80691258E+001
1.65000000E+003, 3.81930003E+001
1.65250000E+003, 3.83367771E+001
1.65500000E+003, 3.84393331E+001
1.65750000E+003, 3.86433969E+001
1.66000000E+003, 3.87301399E+001
1.66250000E+003, 3.89061958E+001
1.66500000E+003, 3.90554215E+001
1.66750000E+003, 3.91668856E+001
1.67000000E+003, 3.92872242E+001
1.67250000E+003, 3.94622369E+001
1.67500000E+003, 3.96046302E+001
1.67750000E+003, 3.98489326E+001
1.68000000E+003, 4.00113916E+001
1.68250000E+003, 4.01987020E+001
1.68500000E+003, 4.02130565E+001
1.68750000E+003, 4.04360823E+001
1.69000000E+003, 4.07260000E+001
1.69250000E+003, 4.07667969E+001
1.69500000E+003, 4.09473780E+001
1.69750000E+003, 4.11396420E+001
1.70000000E+003, 4.13758744E+001
1.70250000E+003, 4.14859217E+001
1.70500000E+003, 4.17700150E+001
1.70750000E+003, 4.18500320E+001
1.71000000E+003, 4.21295691E+001
1.71250000E+003, 4.22569072E+001
1.71500000E+003, 4.24714255E+001
