Label:, CH1: ŽžŠÔŽ²”gŒ`
DateTime:, Thu Aug 03 15:59:12 2017
DataKind:, CH1, Time, Real
DataPoints:, 4096
DataCalc:
Frequency:, 0.000 , 5000.000, Hz
Sample:, 4096, Internal
Average:, 0, Power/Sum
Voltage(CH1):, -20.000, dBVrms
EU/V(CH1):, 4.739E+002
Window(CH1):, Rect
X-AxisScale:, Lin
X-AxisUnit:, s
Y-AxisScale:, Lin
Y-AxisUnit:, N
Y-AxisMagniude:
Time, Acceleration
4.29687500E-003, -1.15981743E-001
4.37500000E-003, 6.58689365E-002
4.45312500E-003, -8.40460509E-002
4.53125000E-003, -8.52528121E-003
4.60937500E-003, 6.81537436E-003
4.68750000E-003, -6.70514479E-002
4.76562500E-003, 4.04290184E-002
4.84375000E-003, -5.27015440E-002
4.92187500E-003, 7.60640809E-003
5.00000000E-003, -1.03229824E-002
5.07812500E-003, -3.56031023E-002
5.15625000E-003, 8.18168279E-003
5.23437500E-003, -6.08512647E-002
5.31250000E-003, -8.50128010E-003
5.39062500E-003, -4.46796566E-002
5.46875000E-003, -3.95021886E-002
5.54687500E-003, -1.08023779E-002
5.62500000E-003, -5.00169285E-002
5.70312500E-003, 1.59798496E-004
5.78125000E-003, -2.97544785E-002
5.85937500E-003, -1.04827806E-002
5.93750000E-003, 1.37426704E-003
6.01562500E-003, -2.44172104E-002
6.09375000E-003, 1.21446857E-002
6.17187500E-003, -2.16686763E-002
6.25000000E-003, -7.06309313E-003
6.32812500E-003, -9.17243306E-003
6.40625000E-003, -3.08411084E-002
6.48437500E-003, -5.17747132E-003
6.56250000E-003, -3.14483419E-002
6.64062500E-003, -1.61076877E-002
6.71875000E-003, -1.62994470E-002
6.79687500E-003, -2.83802114E-002
6.87500000E-003, -8.88479594E-003
6.95312500E-003, -2.50883624E-002
7.03125000E-003, -1.43499048E-002
7.10937500E-003, -1.54684940E-002
7.18750000E-003, -1.99108925E-002
7.26562500E-003, -8.43736064E-003
7.34375000E-003, -1.80252697E-002
7.42187500E-003, -1.10260956E-002
7.50000000E-003, -1.47334207E-002
7.57812500E-003, -1.59478895E-002
7.65625000E-003, -1.37426704E-002
7.73437500E-003, -1.98789332E-002
7.81250000E-003, -1.31673962E-002
7.89062500E-003, -2.00706907E-002
7.96875000E-003, -2.07738038E-002
8.04687500E-003, -1.86005440E-002
8.12500000E-003, -2.14129984E-002
8.20312500E-003, -1.68108009E-002
8.28125000E-003, -1.98469721E-002
8.35937500E-003, -1.87283829E-002
