Label:, CH2: ŽžŠÔŽ²”gŒ`
DateTime:, Thu Aug 03 15:59:12 2017
DataKind:, CH2, Time, Real
DataPoints:, 4096
DataCalc:
Frequency:, 0.000 , 5000.000, Hz
Sample:, 4096, Internal
Average:, 0, Power/Sum
Voltage(CH2):, -10.000, dBVrms
EU/V(CH2):, 1.093E+003
Window(CH2):, Rect
X-AxisScale:, Lin
X-AxisUnit:, s
Y-AxisScale:, Lin
Y-AxisUnit:, m/s2
Y-AxisMagniude:
3.58593750E-002, 1.42848244E+001
3.59375000E-002, -4.61450195E+001
3.60156250E-002, -1.69155827E+001
3.60937500E-002, 3.61211929E+001
3.61718750E-002, 1.57516909E+001
3.62500000E-002, -2.14704685E+001
3.63281250E-002, -4.63086271E+000
3.64062500E-002, 1.82868958E+001
3.64843750E-002, -1.72090030E+000
3.65625000E-002, -2.49416351E+001
3.66406250E-002, -1.17447252E+001
3.67187500E-002, 1.88653469E+001
3.67968750E-002, 2.64464893E+001
3.68750000E-002, -4.79400301E+000
3.69531250E-002, -3.33464050E+001
3.70312500E-002, -7.31405926E+000
3.71093750E-002, 3.52612114E+001
3.71875000E-002, 1.62860928E+001
3.72656250E-002, -2.60426006E+001
3.73437500E-002, -5.40158510E+000
3.74218750E-002, 3.00302219E+001
3.75000000E-002, -3.84242725E+000
3.75781250E-002, -4.16698380E+001
3.76562500E-002, 2.74076223E-001
3.77343750E-002, 4.41192780E+001
3.78125000E-002, 6.57340097E+000
3.78906250E-002, -3.95303650E+001
3.79687500E-002, -1.59022465E+001
3.80468750E-002, 2.44400940E+001
3.81250000E-002, 1.70847836E+001
3.82031250E-002, -8.27985191E+000
3.82812500E-002, -6.43403244E+000
3.83593750E-002, 1.19060011E+001
3.84375000E-002, 1.04787540E+001
3.85156250E-002, -1.44013529E+001
3.85937500E-002, -2.08838615E+001
3.86718750E-002, 1.34120216E+001
3.87500000E-002, 3.34372978E+001
3.88281250E-002, -7.58790255E+000
3.89062500E-002, -4.33007774E+001
3.89843750E-002, -6.76870346E+000
3.90625000E-002, 3.47564049E+001
3.91406250E-002, 7.43035507E+000
3.92187500E-002, -2.48241730E+001
3.92968750E-002, 2.95983672E+000
3.93750000E-002, 2.65989094E+001
