Label:, CH1-2: é¸îgêîâûìöä÷êî
DateTime:, Thu Feb 08 16:38:01 2018
DataKind:, CH1-2, FRF, Mag
DataPoints:, 1601
DataCalc:, H1
Frequency:, 0.000 , 4000.000, Hz
Sample:, 4096, Internal
Average:, 3, Power/Sum
Voltage(CH1):, -20.000, dBVrms
Voltage(CH2):, -10.000, dBVrms
EU/V(CH1):, 3.757E+001
EU/V(CH2):, 1.088E+003
Window(CH1):, Rect
Window(CH2):, Rect
X-AxisScale:, Lin
X-AxisUnit:, Hz
Y-AxisScale:, Log
Y-AxisUnit:, m/s2/N
Y-AxisMagniude:
9.57500000E+002, 2.26472986E+001
9.60000000E+002, 2.33141410E+001
9.62500000E+002, 2.31693043E+001
9.65000000E+002, 2.36708320E+001
9.67500000E+002, 2.40521321E+001
9.70000000E+002, 2.40523800E+001
9.72500000E+002, 2.42766102E+001
9.75000000E+002, 2.44572461E+001
9.77500000E+002, 2.46794444E+001
9.80000000E+002, 2.46613031E+001
9.82500000E+002, 2.49833252E+001
9.85000000E+002, 2.51084054E+001
9.87500000E+002, 2.52044859E+001
9.90000000E+002, 2.51173828E+001
9.92500000E+002, 2.53927233E+001
9.95000000E+002, 2.55315792E+001
9.97500000E+002, 2.58010756E+001
1.00000000E+003, 2.58915663E+001
1.00250000E+003, 2.60494379E+001
1.00500000E+003, 2.60651860E+001
1.00750000E+003, 2.60375714E+001
1.01000000E+003, 2.61490397E+001
1.01250000E+003, 2.63540235E+001
1.01500000E+003, 2.64846796E+001
1.01750000E+003, 2.64579672E+001
1.02000000E+003, 2.64722984E+001
1.02250000E+003, 2.66977782E+001
1.02500000E+003, 2.68489221E+001
1.02750000E+003, 2.68934510E+001
1.03000000E+003, 2.70458850E+001
1.03250000E+003, 2.70603201E+001
1.03500000E+003, 2.70916257E+001
1.03750000E+003, 2.73271065E+001
1.04000000E+003, 2.73581602E+001
1.04250000E+003, 2.75042232E+001
1.04500000E+003, 2.75269849E+001
1.04750000E+003, 2.76897561E+001
1.05000000E+003, 2.77162910E+001
1.05250000E+003, 2.76655530E+001
1.05500000E+003, 2.77030805E+001
1.05750000E+003, 2.78424115E+001
1.06000000E+003, 2.78585549E+001
1.06250000E+003, 2.78584017E+001
1.06500000E+003, 2.79368950E+001
1.06750000E+003, 2.79843723E+001
1.07000000E+003, 2.81949220E+001
1.07250000E+003, 2.81160842E+001
1.07500000E+003, 2.81884998E+001
1.07750000E+003, 2.82247464E+001
1.08000000E+003, 2.81442717E+001
1.08250000E+003, 2.82019276E+001
1.08500000E+003, 2.82918080E+001
1.08750000E+003, 2.82538067E+001
1.09000000E+003, 2.84615473E+001
1.09250000E+003, 2.83689843E+001
1.09500000E+003, 2.83718964E+001
1.09750000E+003, 2.84368366E+001
1.10000000E+003, 2.83632555E+001
1.10250000E+003, 2.85394703E+001
1.10500000E+003, 2.84995249E+001
1.10750000E+003, 2.84900282E+001
1.11000000E+003, 2.85670577E+001
1.11250000E+003, 2.85966757E+001
1.11500000E+003, 2.85716377E+001
1.11750000E+003, 2.86417367E+001
1.12000000E+003, 2.86470651E+001
1.12250000E+003, 2.86946263E+001
1.12500000E+003, 2.86839325E+001
1.12750000E+003, 2.87493210E+001
1.13000000E+003, 2.87563560E+001
1.13250000E+003, 2.87929158E+001
1.13500000E+003, 2.88262343E+001
1.13750000E+003, 2.87663235E+001
1.14000000E+003, 2.88557826E+001
1.14250000E+003, 2.88089555E+001
1.14500000E+003, 2.88353980E+001
1.14750000E+003, 2.88766654E+001
1.15000000E+003, 2.87834718E+001
1.15250000E+003, 2.88432247E+001
1.15500000E+003, 2.89024048E+001
1.15750000E+003, 2.89328610E+001
1.16000000E+003, 2.89410849E+001
1.16250000E+003, 2.90679358E+001
1.16500000E+003, 2.89107788E+001
1.16750000E+003, 2.88480293E+001
1.17000000E+003, 2.89994037E+001
1.17250000E+003, 2.89032689E+001
1.17500000E+003, 2.90177882E+001
1.17750000E+003, 2.89805760E+001
1.18000000E+003, 2.88993116E+001
1.18250000E+003, 2.90073947E+001
1.18500000E+003, 2.91664405E+001
1.18750000E+003, 2.90443292E+001
1.19000000E+003, 2.92339029E+001
1.19250000E+003, 2.91831785E+001
1.19500000E+003, 2.90403662E+001
1.19750000E+003, 2.89919720E+001
1.20000000E+003, 2.90951281E+001
1.20250000E+003, 2.90698743E+001
1.20500000E+003, 2.90842601E+001
1.20750000E+003, 2.90083001E+001
1.21000000E+003, 2.89492969E+001
1.21250000E+003, 2.90503335E+001
1.21500000E+003, 2.91789083E+001
1.21750000E+003, 2.90840870E+001
1.22000000E+003, 2.89244144E+001
1.22250000E+003, 2.91486640E+001
1.22500000E+003, 2.90484024E+001
1.22750000E+003, 2.91387630E+001
1.23000000E+003, 2.91277129E+001
1.23250000E+003, 2.90672708E+001
1.23500000E+003, 2.90908677E+001
1.23750000E+003, 2.90998747E+001
1.24000000E+003, 2.90916961E+001
1.24250000E+003, 2.90539483E+001
1.24500000E+003, 2.90892544E+001
1.24750000E+003, 2.91268479E+001
1.25000000E+003, 2.90675823E+001
1.25250000E+003, 2.89957011E+001
1.25500000E+003, 2.90942119E+001
1.25750000E+003, 2.89362545E+001
1.26000000E+003, 2.91132732E+001
1.26250000E+003, 2.91460550E+001
1.26500000E+003, 2.90546206E+001
1.26750000E+003, 2.90795616E+001
1.27000000E+003, 2.91498944E+001
1.27250000E+003, 2.90661650E+001
1.27500000E+003, 2.91022613E+001
1.27750000E+003, 2.90616169E+001
1.28000000E+003, 2.90795511E+001
1.28250000E+003, 2.90975260E+001
